date,name,platform,impressions,clicks,conversions,cost,ctr,cpc,cpa
2025-04-01,Campanha Páscoa,Google,11079,790,79,847.79,7.13,1.07,10.73
2025-04-01,Campanha Páscoa,Facebook,6789,691,87,773.32,10.18,1.12,8.89
2025-04-01,Campanha Outono,Google,16696,967,39,897.85,5.79,0.93,23.02
2025-04-01,Campanha Outono,Facebook,19208,427,49,816.73,2.22,1.91,16.67
2025-04-01,Campanha Abril,Google,16394,1497,43,833.58,9.13,0.56,19.39
2025-04-01,Campanha Abril,Facebook,6045,484,31,966.22,8.01,2.0,31.17
2025-04-01,Campanha Dia das Mães,Google,15871,869,84,1495.52,5.48,1.72,17.8
2025-04-01,Campanha Dia das Mães,Facebook,19862,533,69,313.12,2.68,0.59,4.54
2025-04-01,Campanha Promo Relâmpago,Google,7495,645,71,420.51,8.61,0.65,5.92
2025-04-01,Campanha Promo Relâmpago,Facebook,11836,646,70,415.83,5.46,0.64,5.94
2025-04-02,Campanha Páscoa,Google,11035,1197,97,386.78,10.85,0.32,3.99
2025-04-02,Campanha Páscoa,Facebook,8080,924,34,1100.99,11.44,1.19,32.38
2025-04-02,Campanha Outono,Google,6146,696,79,381.52,11.32,0.55,4.83
2025-04-02,Campanha Outono,Facebook,9599,539,71,1068.58,5.62,1.98,15.05
2025-04-02,Campanha Abril,Google,8388,626,91,1425.8,7.46,2.28,15.67
2025-04-02,Campanha Abril,Facebook,6320,1275,65,222.09,20.17,0.17,3.42
2025-04-02,Campanha Dia das Mães,Google,5601,791,41,525.86,14.12,0.66,12.83
2025-04-02,Campanha Dia das Mães,Facebook,13250,945,100,210.02,7.13,0.22,2.1
2025-04-02,Campanha Promo Relâmpago,Google,10192,1010,39,871.33,9.91,0.86,22.34
2025-04-02,Campanha Promo Relâmpago,Facebook,13592,1319,41,380.74,9.7,0.29,9.29
2025-04-03,Campanha Páscoa,Google,14067,1299,79,788.97,9.23,0.61,9.99
2025-04-03,Campanha Páscoa,Facebook,16281,1030,72,985.8,6.33,0.96,13.69
2025-04-03,Campanha Outono,Google,5784,912,73,665.9,15.77,0.73,9.12
2025-04-03,Campanha Outono,Facebook,6769,1416,92,1134.93,20.92,0.8,12.34
2025-04-03,Campanha Abril,Google,10152,577,97,534.82,5.68,0.93,5.51
2025-04-03,Campanha Abril,Facebook,14247,1324,96,1147.85,9.29,0.87,11.96
2025-04-03,Campanha Dia das Mães,Google,19394,1418,87,416.01,7.31,0.29,4.78
2025-04-03,Campanha Dia das Mães,Facebook,15303,1054,55,719.23,6.89,0.68,13.08
2025-04-03,Campanha Promo Relâmpago,Google,16518,846,76,854.32,5.12,1.01,11.24
2025-04-03,Campanha Promo Relâmpago,Facebook,11758,385,38,990.74,3.27,2.57,26.07
2025-04-04,Campanha Páscoa,Google,11858,444,94,320.85,3.74,0.72,3.41
2025-04-04,Campanha Páscoa,Facebook,18338,885,49,1195.54,4.83,1.35,24.4
2025-04-04,Campanha Outono,Google,10975,527,51,326.89,4.8,0.62,6.41
2025-04-04,Campanha Outono,Facebook,8361,763,97,461.87,9.13,0.61,4.76
2025-04-04,Campanha Abril,Google,15025,381,72,315.44,2.54,0.83,4.38
2025-04-04,Campanha Abril,Facebook,5677,1449,41,1098.68,25.52,0.76,26.8
2025-04-04,Campanha Dia das Mães,Google,15204,1184,37,1241.87,7.79,1.05,33.56
2025-04-04,Campanha Dia das Mães,Facebook,14630,575,52,1221.02,3.93,2.12,23.48
2025-04-04,Campanha Promo Relâmpago,Google,13751,396,39,425.67,2.88,1.07,10.91
2025-04-04,Campanha Promo Relâmpago,Facebook,10432,300,51,982.44,2.88,3.27,19.26
2025-04-05,Campanha Páscoa,Google,14108,1065,71,726.52,7.55,0.68,10.23
2025-04-05,Campanha Páscoa,Facebook,19560,638,54,1453.6,3.26,2.28,26.92
2025-04-05,Campanha Outono,Google,16719,1179,71,550.01,7.05,0.47,7.75
2025-04-05,Campanha Outono,Facebook,12974,858,100,754.77,6.61,0.88,7.55
2025-04-05,Campanha Abril,Google,13101,1309,38,314.7,9.99,0.24,8.28
2025-04-05,Campanha Abril,Facebook,18912,1290,74,251.45,6.82,0.19,3.4
2025-04-05,Campanha Dia das Mães,Google,10510,1370,63,726.21,13.04,0.53,11.53
2025-04-05,Campanha Dia das Mães,Facebook,5814,950,59,1056.82,16.34,1.11,17.91
2025-04-05,Campanha Promo Relâmpago,Google,8296,367,79,1366.88,4.42,3.72,17.3
2025-04-05,Campanha Promo Relâmpago,Facebook,9559,1413,44,1345.16,14.78,0.95,30.57
2025-04-06,Campanha Páscoa,Google,11946,369,52,506.44,3.09,1.37,9.74
2025-04-06,Campanha Páscoa,Facebook,15180,539,47,1035.1,3.55,1.92,22.02
2025-04-06,Campanha Outono,Google,5128,1416,79,233.93,27.61,0.17,2.96
2025-04-06,Campanha Outono,Facebook,16832,1070,93,365.08,6.36,0.34,3.93
2025-04-06,Campanha Abril,Google,18153,1333,62,633.85,7.34,0.48,10.22
2025-04-06,Campanha Abril,Facebook,7754,457,40,1191.82,5.89,2.61,29.8
2025-04-06,Campanha Dia das Mães,Google,8908,1092,98,996.02,12.26,0.91,10.16
2025-04-06,Campanha Dia das Mães,Facebook,16640,1021,37,1161.42,6.14,1.14,31.39
2025-04-06,Campanha Promo Relâmpago,Google,16448,1406,32,378.57,8.55,0.27,11.83
2025-04-06,Campanha Promo Relâmpago,Facebook,9403,1037,39,1090.02,11.03,1.05,27.95
2025-04-07,Campanha Páscoa,Google,14658,1293,85,1167.12,8.82,0.9,13.73
2025-04-07,Campanha Páscoa,Facebook,18522,994,72,579.83,5.37,0.58,8.05
2025-04-07,Campanha Outono,Google,6961,1413,57,397.13,20.3,0.28,6.97
2025-04-07,Campanha Outono,Facebook,18492,1338,31,876.01,7.24,0.65,28.26
2025-04-07,Campanha Abril,Google,8965,1081,88,609.17,12.06,0.56,6.92
2025-04-07,Campanha Abril,Facebook,7410,986,38,1160.11,13.31,1.18,30.53
2025-04-07,Campanha Dia das Mães,Google,14274,1262,33,866.25,8.84,0.69,26.25
2025-04-07,Campanha Dia das Mães,Facebook,11109,418,70,474.58,3.76,1.14,6.78
2025-04-07,Campanha Promo Relâmpago,Google,16905,427,32,1263.09,2.53,2.96,39.47
2025-04-07,Campanha Promo Relâmpago,Facebook,9665,1409,41,656.22,14.58,0.47,16.01
2025-04-08,Campanha Páscoa,Google,13988,760,68,485.03,5.43,0.64,7.13
2025-04-08,Campanha Páscoa,Facebook,6030,1134,99,1147.09,18.81,1.01,11.59
2025-04-08,Campanha Outono,Google,8962,1265,49,357.3,14.12,0.28,7.29
2025-04-08,Campanha Outono,Facebook,16712,1050,61,1333.91,6.28,1.27,21.87
2025-04-08,Campanha Abril,Google,5797,384,65,615.9,6.62,1.6,9.48
2025-04-08,Campanha Abril,Facebook,9863,1281,74,1383.77,12.99,1.08,18.7
2025-04-08,Campanha Dia das Mães,Google,14644,896,64,1117.65,6.12,1.25,17.46
2025-04-08,Campanha Dia das Mães,Facebook,9557,885,61,720.89,9.26,0.81,11.82
2025-04-08,Campanha Promo Relâmpago,Google,8159,1279,37,502.76,15.68,0.39,13.59
2025-04-08,Campanha Promo Relâmpago,Facebook,5869,783,73,860.85,13.34,1.1,11.79
2025-04-09,Campanha Páscoa,Google,13606,1326,63,413.17,9.75,0.31,6.56
2025-04-09,Campanha Páscoa,Facebook,16793,444,43,1357.01,2.64,3.06,31.56
2025-04-09,Campanha Outono,Google,13362,1110,53,948.78,8.31,0.85,17.9
2025-04-09,Campanha Outono,Facebook,19213,823,68,459.22,4.28,0.56,6.75
2025-04-09,Campanha Abril,Google,13532,1488,100,605.08,11.0,0.41,6.05
2025-04-09,Campanha Abril,Facebook,7128,614,92,830.22,8.61,1.35,9.02
2025-04-09,Campanha Dia das Mães,Google,5533,310,45,707.29,5.6,2.28,15.72
2025-04-09,Campanha Dia das Mães,Facebook,16345,1040,90,843.14,6.36,0.81,9.37
2025-04-09,Campanha Promo Relâmpago,Google,18333,1044,90,1308.65,5.69,1.25,14.54
2025-04-09,Campanha Promo Relâmpago,Facebook,17308,1496,62,1193.6,8.64,0.8,19.25
2025-04-10,Campanha Páscoa,Google,8730,748,99,1210.97,8.57,1.62,12.23
2025-04-10,Campanha Páscoa,Facebook,12191,403,61,618.79,3.31,1.54,10.14
2025-04-10,Campanha Outono,Google,15958,747,32,254.32,4.68,0.34,7.95
2025-04-10,Campanha Outono,Facebook,17425,1332,84,1459.77,7.64,1.1,17.38
2025-04-10,Campanha Abril,Google,19852,1337,50,824.17,6.73,0.62,16.48
2025-04-10,Campanha Abril,Facebook,7947,887,39,694.05,11.16,0.78,17.8
2025-04-10,Campanha Dia das Mães,Google,9956,1031,67,246.16,10.36,0.24,3.67
2025-04-10,Campanha Dia das Mães,Facebook,11281,1464,100,1187.04,12.98,0.81,11.87
2025-04-10,Campanha Promo Relâmpago,Google,18717,1006,90,1418.15,5.37,1.41,15.76
2025-04-10,Campanha Promo Relâmpago,Facebook,7317,858,71,1416.24,11.73,1.65,19.95
2025-04-11,Campanha Páscoa,Google,11218,904,45,383.93,8.06,0.42,8.53
2025-04-11,Campanha Páscoa,Facebook,14054,648,87,233.38,4.61,0.36,2.68
2025-04-11,Campanha Outono,Google,17852,1115,94,1300.56,6.25,1.17,13.84
2025-04-11,Campanha Outono,Facebook,12299,982,55,296.89,7.98,0.3,5.4
2025-04-11,Campanha Abril,Google,17666,1250,49,1415.94,7.08,1.13,28.9
2025-04-11,Campanha Abril,Facebook,8197,779,63,681.59,9.5,0.87,10.82
2025-04-11,Campanha Dia das Mães,Google,13645,603,71,895.96,4.42,1.49,12.62
2025-04-11,Campanha Dia das Mães,Facebook,5338,1117,82,1163.15,20.93,1.04,14.18
2025-04-11,Campanha Promo Relâmpago,Google,14224,399,96,1140.08,2.81,2.86,11.88
2025-04-11,Campanha Promo Relâmpago,Facebook,19321,781,66,682.14,4.04,0.87,10.34
2025-04-12,Campanha Páscoa,Google,14844,1392,68,1466.56,9.38,1.05,21.57
2025-04-12,Campanha Páscoa,Facebook,18188,336,96,1378.91,1.85,4.1,14.36
2025-04-12,Campanha Outono,Google,6208,841,62,477.63,13.55,0.57,7.7
2025-04-12,Campanha Outono,Facebook,18790,1182,95,1496.16,6.29,1.27,15.75
2025-04-12,Campanha Abril,Google,12582,463,30,1049.13,3.68,2.27,34.97
